Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.WristAbduction.Pos
  1.930000000000000e+00, -1.657314148083380e-01, -1.879806456349629e+00,  3.111301950637694e-01,  2.247874605925849e-01,  7.278024173865664e-01,  2.030198452673932e-01, -3.303332185715597e-01,  4.135855345683944e-01, -1.829244266747207e-01,  8.338255777460818e-01,  8.380655084982351e-01, -1.970120275536296e-01,  2.945863305282021e-02
  1.940000000000000e+00, -1.683206429073115e-01, -1.880762174230859e+00,  3.151791320897497e-01,  2.267111617921514e-01,  7.274069081476292e-01,  2.031204398245400e-01, -3.301015527581174e-01,  4.086390657469717e-01, -1.762752245709172e-01,  8.523286050404034e-01,  8.397726504909472e-01, -1.914954239068909e-01,  3.004878057106235e-02
  1.950000000000000e+00, -1.708531762856974e-01, -1.881710941742968e+00,  3.191556863015192e-01,  2.286150873760259e-01,  7.270259847442582e-01,  2.032137154111368e-01, -3.297642032118943e-01,  4.038203872820184e-01, -1.698786368943038e-01,  8.707172766656845e-01,  8.415584787291598e-01, -1.864191440059175e-01,  3.066406080798585e-02
  1.960000000000000e+00, -1.733373080697808e-01, -1.882645826179449e+00,  3.230722128778266e-01,  2.305034096254290e-01,  7.266587094953738e-01,  2.032999789781038e-01, -3.293365113204764e-01,  3.991060254640604e-01, -1.637731172933323e-01,  8.889505642413188e-01,  8.433448204118091e-01, -1.817514373787428e-01,  3.129383804256231e-02
  1.970000000000000e+00, -1.757754422129693e-01, -1.883537345945639e+00,  3.269328476899079e-01,  2.323740671022349e-01,  7.263063464164399e-01,  2.033786863339829e-01, -3.288293313150136e-01,  3.944904934390600e-01, -1.579937378413384e-01,  9.069879547439789e-01,  8.450031969283498e-01, -1.774244053133032e-01,  3.192513338086187e-02
  1.980000000000000e+00, -1.781612177803662e-01, -1.884351573272272e+00,  3.307282102789015e-01,  2.342182147874292e-01,  7.259714186148818e-01,  2.034490219139632e-01, -3.282444499117378e-01,  3.899791291346782e-01, -1.525709474075254e-01,  9.247898432914363e-01,  8.463743772884031e-01, -1.733329374058410e-01,  3.254172210533890e-02
  1.990000000000000e+00, -1.804822730501082e-01, -1.885041153477778e+00,  3.344399941593597e-01,  2.360210956786214e-01,  7.256578402452180e-01,  2.035097694758339e-01, -3.275781422255520e-01,  3.855904800541126e-01, -1.475257875025421e-01,  9.423082530060045e-01,  8.473215877071215e-01, -1.693531410747124e-01,  3.313115402874805e-02
  2.000000000000000e+00, -1.827211435106504e-01, -1.885556159551127e+00,  3.380418636238996e-01,  2.377635712588390e-01,  7.253700520974872e-01,  2.035597044091389e-01, -3.268198628711339e-01,  3.813449160378512e-01, -1.428729493136228e-01,  9.594822253934132e-01,  8.477808675507540e-01, -1.653887785671500e-01,  3.368916561300776e-02
  2.010000000000000e+00, -1.848595027475640e-01, -1.885863591226032e+00,  3.415052365683077e-01,  2.394270452409610e-01,  7.251113224030468e-01,  2.035982335296963e-01, -3.259573035950751e-01,  3.772500897566157e-01, -1.386278572877536e-01,  9.762380569144228e-01,  8.477573609475767e-01, -1.613891553181381e-01,  3.421807753728786e-02
  2.020000000000000e+00, -1.868858057928626e-01, -1.885938325695743e+00,  3.448120056422212e-01,  2.409984765654240e-01,  7.248835331335544e-01,  2.036251845715191e-01, -3.249898297358010e-01,  3.733063115017859e-01, -1.348100949791461e-01,  9.924918463439065e-01,  8.473029345414282e-01, -1.573111121408384e-01,  3.472137368366167e-02
  2.030000000000000e+00, -1.888024662433871e-01, -1.885772526592379e+00,  3.479659681621886e-01,  2.424771393349160e-01,  7.246859579547209e-01,  2.036410547100281e-01, -3.239407562196297e-01,  3.695050355645958e-01, -1.314489903957465e-01,  1.008152066852437e+00,  8.464830974853101e-01, -1.530954534741817e-01,  3.519881206052276e-02
  2.040000000000000e+00, -1.906312928891800e-01, -1.885362965895766e+00,  3.510028060591199e-01,  2.438782142116757e-01,  7.245156226303570e-01,  2.036465720911590e-01, -3.228679805059564e-01,  3.658373793624491e-01, -1.285854209288415e-01,  1.023117519272801e+00,  8.453919913219564e-01, -1.486749977278068e-01,  3.564838303864579e-02
