Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.WristAbduction.Pos
  2.190000000000000e+00, -2.575338022873555e+00,  6.490828427506205e-02, -1.545403825862503e+00,  1.816154469341865e-01,  7.318419863272031e-01,  2.035570015074449e-01, -3.998232629989995e-01,  2.476446108952235e-01, -5.608707629205459e-01,  3.459521407052190e-01,  2.088623960228366e-01, -1.882146697465770e-01,  1.104579852618907e-02
  2.200000000000000e+00, -2.574063361915472e+00,  6.552581097725894e-02, -1.546696549489200e+00,  1.816998506916939e-01,  7.318567929309573e-01,  2.035426227412175e-01, -3.970732664304318e-01,  2.495015988055461e-01, -5.575831376082235e-01,  3.448990917303014e-01,  2.121204584036819e-01, -1.869811728225357e-01,  1.093374772541196e-02
  2.210000000000000e+00, -2.572356385177198e+00,  6.660307752361862e-02, -1.548018478854923e+00,  1.819218523114688e-01,  7.318273455187769e-01,  2.035448632441205e-01, -3.942446603882505e-01,  2.518191429804753e-01, -5.530920795101394e-01,  3.439361164134585e-01,  2.159684866820139e-01, -1.867885028385745e-01,  1.081530942342448e-02
  2.220000000000000e+00, -2.570248301502375e+00,  6.814738171564902e-02, -1.549293837393851e+00,  1.822910145691630e-01,  7.317486661265620e-01,  2.035659833963872e-01, -3.914969692197381e-01,  2.545304389659966e-01, -5.474084210049748e-01,  3.432059011718657e-01,  2.203490113059201e-01, -1.875975055211838e-01,  1.068890632802477e-02
  2.230000000000000e+00, -2.567787847461985e+00,  7.014678037442233e-02, -1.550444437159487e+00,  1.828119987122344e-01,  7.316177372952133e-01,  2.036074060570046e-01, -3.889718020202615e-01,  2.575578815364509e-01, -5.405565416491644e-01,  3.428736415735010e-01,  2.252048098626896e-01, -1.893125026764644e-01,  1.055742603535820e-02
  2.240000000000000e+00, -2.565028721562598e+00,  7.257383918033485e-02, -1.551407059765776e+00,  1.834842018741450e-01,  7.314341532741913e-01,  2.036693582096869e-01, -3.867783312245139e-01,  2.608287818585300e-01, -5.325783904899576e-01,  3.431201553184876e-01,  2.304806333309544e-01, -1.917942605959688e-01,  1.043010590048107e-02
  2.250000000000000e+00, -2.562012223899692e+00,  7.539621257190003e-02, -1.552147987672359e+00,  1.843036433640911e-01,  7.311999012274797e-01,  2.037508753389524e-01, -3.849869660034805e-01,  2.642892056518427e-01, -5.235334173030777e-01,  3.441294711514329e-01,  2.361356148927706e-01, -1.948716672800819e-01,  1.032336877603827e-02
  2.260000000000000e+00, -2.558749648481571e+00,  7.859114530743934e-02, -1.552670559546520e+00,  1.852667123088789e-01,  7.309183469829318e-01,  2.038501488470214e-01, -3.836321699450422e-01,  2.679128273489497e-01, -5.134947707150156e-01,  3.460716601832941e-01,  2.421622443361025e-01, -1.983523206835696e-01,  1.026038508454780e-02
  2.270000000000000e+00, -2.555214375153990e+00,  8.215508250912451e-02, -1.553012178146212e+00,  1.863734780786073e-01,  7.305931162945403e-01,  2.039649636635856e-01, -3.827187022988634e-01,  2.717005566155392e-01, -5.025423890666229e-01,  3.490835592768737e-01,  2.486010952853369e-01, -2.020363319904290e-01,  1.027016549706709e-02
  2.280000000000000e+00, -2.551351725683615e+00,  8.610224820252502e-02, -1.553227285041993e+00,  1.876288941875398e-01,  7.302272686334293e-01,  2.040931040266487e-01, -3.822261951465223e-01,  2.756664842977837e-01, -4.907538663547924e-01,  3.532507087370663e-01,  2.555444363808247e-01, -2.057324079279756e-01,  1.038566837181089e-02
  2.290000000000000e+00, -2.547103721253431e+00,  9.045312994576829e-02, -1.553361266799670e+00,  1.890415830660711e-01,  7.298229328615961e-01,  2.042326492215535e-01, -3.821109580689294e-01,  2.798149855037317e-01, -4.781957900499438e-01,  3.585965438635472e-01,  2.631257494813671e-01, -2.092720105671357e-01,  1.063997746722710e-02
  2.300000000000000e+00, -2.542437076340727e+00,  9.521854118141201e-02, -1.553427821756759e+00,  1.906207187739267e-01,  7.293815439388185e-01,  2.043820454179425e-01, -3.823056682052380e-01,  2.841218221701808e-01, -4.649186958673647e-01,  3.650840324349453e-01,  2.714970917548125e-01, -2.125207500092832e-01,  1.106163144706580e-02
  2.310000000000000e+00, -2.537362289693593e+00,  1.003869240556194e-01, -1.553398943723495e+00,  1.923725375407789e-01,  7.289044400804117e-01,  2.045399938287120e-01, -3.827191712437742e-01,  2.885280671803058e-01, -4.509562378118362e-01,  3.726275943580380e-01,  2.808002537532283e-01, -2.153903253550180e-01,  1.167060924314525e-02
