Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  2.350000000000000e+00,  1.966193810397315e-01, -8.910929345738494e-02,  1.943104610372856e-01,  3.491372479302954e-01,  1.544511161911534e-02,  3.431085767025716e-01
  2.360000000000000e+00,  1.777784978785605e-01, -9.576516659642831e-02,  1.951161155959452e-01,  3.421952109953257e-01,  3.688432473208948e-03,  3.431224434138747e-01
  2.370000000000000e+00,  1.582040589180989e-01, -1.017907326770693e-01,  1.952917079166254e-01,  3.340236526007674e-01, -7.524632345935755e-03,  3.424690168335127e-01
  2.380000000000000e+00,  1.379999110176645e-01, -1.071799333862655e-01,  1.947638134595655e-01,  3.248075763310716e-01, -1.805971709808262e-02,  3.412516617858796e-01
  2.390000000000000e+00,  1.172695463197152e-01, -1.119562546475641e-01,  1.935262299759341e-01,  3.147161033484535e-01, -2.785606693337848e-02,  3.395356759997716e-01
  2.400000000000000e+00,  9.611314427247648e-02, -1.161607756183358e-01,  1.916253328520486e-01,  3.039063275171177e-01, -3.691084477855135e-02,  3.373495877448826e-01
  2.410000000000000e+00,  7.462318490584047e-02, -1.198402032436010e-01,  1.891360217525981e-01,  2.925282107126958e-01, -4.526279737738527e-02,  3.347031364106662e-01
  2.420000000000000e+00,  5.288491767904235e-02, -1.230367226000024e-01,  1.861353790536976e-01,  2.807300747189359e-01, -5.297950952705562e-02,  3.316113206927813e-01
  2.430000000000000e+00,  3.097973979388571e-02, -1.257827875230360e-01,  1.826829115410219e-01,  2.686615598633671e-01, -6.014756553012430e-02,  3.281159261354521e-01
  2.440000000000000e+00,  8.986234696379915e-03, -1.281021647916938e-01,  1.788126776410146e-01,  2.564716104485300e-01, -6.686342582614868e-02,  3.243012603782977e-01
  2.450000000000000e+00, -1.301992483849298e-02, -1.300146624755907e-01,  1.745367170722194e-01,  2.443040487446214e-01, -7.322533446277567e-02,  3.203002992961916e-01
  2.460000000000000e+00, -3.496590027385220e-02, -1.315393034633561e-01,  1.698560813404889e-01,  2.322941796748984e-01, -7.932948778068961e-02,  3.162865301360218e-01
  2.470000000000000e+00, -5.678340105926825e-02, -1.326951017828484e-01,  1.647761463488158e-01,  2.205653717732702e-01, -8.526936487752138e-02,  3.124520845870035e-01
  2.480000000000000e+00, -7.841166452769774e-02, -1.335004902206074e-01,  1.593204152645498e-01,  2.092255005363642e-01, -9.113554451914470e-02,  3.089812489118925e-01
  2.490000000000000e+00, -9.979670919863892e-02, -1.339730332757914e-01,  1.535355309560984e-01,  1.983663243945923e-01, -9.701483379982030e-02,  3.060299920191518e-01
  2.500000000000000e+00, -1.208825805066191e-01, -1.341296233973883e-01,  1.474865528808787e-01,  1.880688497506085e-01, -1.029904360080308e-01,  3.037144152910709e-01
  2.510000000000000e+00, -1.415979063296908e-01, -1.339876070508637e-01,  1.412501543524363e-01,  1.784124752688485e-01, -1.091430550552448e-01,  3.021037870116378e-01
  2.520000000000000e+00, -1.618480586282072e-01, -1.335678717391608e-01,  1.349118452864213e-01,  1.694817831606754e-01, -1.155501631336018e-01,  3.012153863377171e-01
  2.530000000000000e+00, -1.815152892718259e-01, -1.328998449387273e-01,  1.285648408933247e-01,  1.613685385890855e-01, -1.222826139015961e-01,  3.010147781463126e-01
  2.540000000000000e+00, -2.004605683181688e-01, -1.320274422511338e-01,  1.223055822627759e-01,  1.541704645782892e-01, -1.293998944423043e-01,  3.014261483657570e-01
  2.550000000000000e+00, -2.185285925391649e-01, -1.310132209533927e-01,  1.162253342755286e-01,  1.479872574997373e-01, -1.369455545971741e-01,  3.023494345253345e-01
  2.560000000000000e+00, -2.355613044347585e-01, -1.299373234302457e-01,  1.104011903755023e-01,  1.429137086088377e-01, -1.449443505031121e-01,  3.036754881209790e-01
  2.570000000000000e+00, -2.514171802398273e-01, -1.288911535065302e-01,  1.048895572912180e-01,  1.390308664398066e-01, -1.534012889145324e-01,  3.052948250731021e-01
  2.580000000000000e+00, -2.659904839034012e-01, -1.279677068884233e-01,  9.972333489740584e-02,  1.363966891435490e-01, -1.623016302638396e-01,  3.071000250397333e-01
  2.590000000000000e+00, -2.792256019475789e-01, -1.272525889008289e-01,  9.491253870154920e-02,  1.350378318714959e-01, -1.716113417205418e-01,  3.089823488633779e-01
  2.600000000000000e+00, -2.911308501767524e-01, -1.268123560659475e-01,  9.044881040543892e-02,  1.349436972623750e-01, -1.812794544709866e-01,  3.108246679192999e-01
  2.610000000000000e+00, -3.017878836649864e-01, -1.266896729395524e-01,  8.631140897062543e-02,  1.360622469165287e-01, -1.912399617178568e-01,  3.124947778672889e-01
  2.620000000000000e+00, -3.113588537001443e-01, -1.269003051638373e-01,  8.246932947560452e-02,  1.382993960124732e-01, -2.014118810744692e-01,  3.138439634293073e-01
  2.630000000000000e+00, -3.200822923659632e-01, -1.274331071687624e-01,  7.887669685762178e-02,  1.415248276852047e-01, -2.116975877072773e-01,  3.147112525513381e-01
  2.640000000000000e+00, -3.282537934798979e-01, -1.282523368927502e-01,  7.546493769895450e-02,  1.455849335293448e-01, -2.219809165415975e-01,  3.149312387716196e-01
  2.650000000000000e+00, -3.361961837318666e-01, -1.293018008473270e-01,  7.213632130602646e-02,  1.503202826645101e-01, -2.321260777329845e-01,  3.143436681334247e-01
  2.660000000000000e+00, -3.442311661604884e-01, -1.305042592462564e-01,  6.876237598810131e-02,  1.555815209850572e-01, -2.419780633398367e-01,  3.128077760375892e-01
  2.670000000000000e+00, -3.526398163946470e-01, -1.317642862372170e-01,  6.519973895543790e-02,  1.612486626202921e-01, -2.513697635738701e-01,  3.101994001166380e-01
  2.680000000000000e+00, -3.616271731164784e-01, -1.329597717183550e-01,  6.131885068860975e-02,  1.672453142477416e-01, -2.601300659151403e-01,  3.064078364076441e-01
  2.690000000000000e+00, -3.712822047047831e-01, -1.339331090528446e-01,  5.704416128723794e-02,  1.735539585251936e-01, -2.680947817159650e-01,  3.013208230222861e-01
  2.700000000000000e+00, -3.815472163444348e-01, -1.344848866847244e-01,  5.238997065112060e-02,  1.802279523958855e-01, -2.751158383584684e-01,  2.948119410071353e-01
  2.710000000000000e+00, -3.922132947050684e-01, -1.343813806127703e-01,  4.747325619905727e-02,  1.873928955876794e-01, -2.810624447153561e-01,  2.867426414929581e-01
  2.720000000000000e+00, -4.029563770051495e-01, -1.333805394521972e-01,  4.249166133761910e-02,  1.952296873800221e-01, -2.858093005317237e-01,  2.769858881866648e-01
  2.730000000000000e+00, -4.134058674317322e-01, -1.312677013932240e-01,  3.767368244799572e-02,  2.039424907825999e-01, -2.892153637349112e-01,  2.654620237305270e-01
  2.740000000000000e+00, -4.232166753902969e-01, -1.278841723523483e-01,  3.322419958216590e-02,  2.137256430504803e-01, -2.911035324322847e-01,  2.521660182242099e-01
  2.750000000000000e+00, -4.321171680810877e-01, -1.231378727364993e-01,  2.928825852651045e-02,  2.247436707769234e-01, -2.912503350873129e-01,  2.371704800979965e-01
  2.760000000000000e+00, -4.399238192591525e-01, -1.169990227909168e-01,  2.593995293161362e-02,  2.371298076252843e-01, -2.893872214817021e-01,  2.206058262823201e-01
  2.770000000000000e+00, -4.465308916107276e-01, -1.094909890895612e-01,  2.318527172067946e-02,  2.509983383535831e-01, -2.852080022108555e-01,  2.026370609400451e-01
  2.780000000000000e+00, -4.518791623205713e-01, -1.006847203072463e-01,  2.097937599378481e-02,  2.664705329849999e-01, -2.783811745431300e-01,  1.834269464563246e-01
  2.790000000000000e+00, -4.559333534893246e-01, -9.069610834960895e-02,  1.922429778999082e-02,  2.836889239107352e-01, -2.685588009928235e-01,  1.631593213027036e-01
  2.800000000000000e+00, -4.586494418759147e-01, -7.968846187557221e-02,  1.778891976321463e-02,  3.028394036166471e-01, -2.553959893727149e-01,  1.420254811076694e-01
  2.810000000000000e+00, -4.599550683848408e-01, -6.787520911819533e-02,  1.652449475169944e-02,  3.241609675263274e-01, -2.385746178235546e-01,  1.202273843158542e-01
  2.820000000000000e+00, -4.597379974120049e-01, -5.551758304526500e-02,  1.528866118496086e-02,  3.479490077853175e-01, -2.178370888105672e-01,  9.796274618246514e-02
  2.830000000000000e+00, -4.578434881990028e-01, -4.290870554343540e-02,  1.396709588462836e-02,  3.745478918717681e-01, -1.930307541790271e-01,  7.541139024250269e-02
  2.840000000000000e+00, -4.540699507693329e-01, -3.034410002643662e-02,  1.248304857104807e-02,  4.043314860207414e-01, -1.641622794506185e-01,  5.274852073462358e-02
  2.850000000000001e+00, -4.481556992207235e-01, -1.808659195298090e-02,  1.079783859850905e-02,  4.376736405155820e-01, -1.314598507795361e-01,  3.019031387388395e-02
  2.860000000000000e+00, -4.397727715072794e-01, -6.333435222046546e-03,  8.908248858940268e-03,  4.749086717419617e-01, -9.543841253187868e-02,  8.054568618410127e-03
  2.870000000000000e+00, -4.285536711460544e-01,  4.805302953627910e-03,  6.834651412978144e-03,  5.162781051146795e-01, -5.695594104421477e-02, -1.318153293399346e-02
  2.880000000000000e+00, -4.141584428627910e-01,  1.530622547775806e-02,  4.594045883377949e-03,  5.618654909583682e-01, -1.723635051629461e-02, -3.284662925137691e-02
  2.890000000000000e+00, -3.963641978243594e-01,  2.520474533409955e-02,  2.168761940955510e-03,  6.115341146866935e-01,  2.217557453744746e-02, -5.009317240870295e-02
  2.900000000000000e+00, -3.751439862310754e-01,  3.454726504415606e-02, -5.076622207318093e-04,  6.648895377395955e-01,  5.954728287248556e-02, -6.398475673237243e-02
  2.910000000000000e+00, -3.507028050390658e-01,  4.334148870837162e-02, -3.533740363769074e-03,  7.212830834427171e-01,  9.315471264400381e-02, -7.362865908605100e-02
  2.920000000000000e+00, -3.234555785534869e-01,  5.152422587057259e-02, -6.997522090981155e-03,  7.798596029036672e-01,  1.214807831635029e-01, -7.830276166718561e-02
  2.930000000000000e+00, -2.939569433827763e-01,  5.895702822384918e-02, -1.092845337704511e-02,  8.396380763906409e-01,  1.433668851355956e-01, -7.753662395918640e-02
  2.940000000000000e+00, -2.628107836284187e-01,  6.544644776253095e-02, -1.526651417882682e-02,  8.996001100399335e-01,  1.581106323335060e-01, -7.114186497704367e-02
  2.950000000000000e+00, -2.305862506204076e-01,  7.078043291492109e-02, -1.985886286958049e-02,  9.587609345681002e-01,  1.655235463062327e-01, -5.922247205776600e-02
  2.960000000000000e+00, -1.977674513206900e-01,  7.477230889595599e-02, -2.448327344690571e-02,  1.016209064960937e+00,  1.659453815075741e-01, -4.218816954821011e-02
  2.970000000000000e+00, -1.647178560580819e-01,  7.730310743844515e-02, -2.888664328432331e-02,  1.071127923973996e+00,  1.601875369589906e-01, -2.076504426851869e-02
  2.980000000000000e+00, -1.316928253152459e-01,  7.834254768945925e-02, -3.283206079479864e-02,  1.122801419758790e+00,  1.494033438517745e-01,  4.030024322181839e-03
  2.990000000000000e+00, -9.886519918021863e-02,  7.794912162860879e-02, -3.613205786903570e-02,  1.170619943768563e+00,  1.349071941058396e-01,  3.095488148958795e-02
  3.000000000000000e+00, -6.635715942820132e-02,  7.625665917722535e-02, -3.866175947675948e-02,  1.214085944841842e+00,  1.179925734384539e-01,  5.864795496263285e-02
  3.010000000000000e+00, -3.426468715470903e-02,  7.345537237337108e-02, -4.035594409124862e-02,  1.252815741842650e+00,  9.979354652436162e-02,  8.575936143830579e-02
  3.020000000000000e+00, -2.672223011929616e-03,  6.977110094454431e-02, -4.119945653133173e-02,  1.286533101778928e+00,  8.121211186423409e-02,  1.110785499287988e-01
  3.030000000000000e+00,  2.833824142222951e-02,  6.544532801636116e-02, -4.121592448521769e-02,  1.315053733275542e+00,  6.291006966021484e-02,  1.336334695011202e-01
  3.040000000000000e+00,  5.867632998998101e-02,  6.071724414772794e-02, -4.045274925884704e-02,  1.338263197915408e+00,  4.534678514531718e-02,  1.527531274690535e-01
  3.050000000000000e+00,  8.823309283852188e-02,  5.580737575164441e-02, -3.896517723205806e-02,  1.356094663586892e+00,  2.883444163064005e-02,  1.680977181580908e-01
  3.060000000000000e+00,  1.168946996987475e-01,  5.090583987190289e-02, -3.680420015082953e-02,  1.368515763635442e+00,  1.358536763430977e-02,  1.796568109372957e-01
  3.070000000000000e+00,  1.445485166971771e-01,  4.616125543472638e-02, -3.401695873922692e-02,  1.375518416949603e+00, -2.556434153506613e-04,  1.877299107492958e-01
  3.080000000000000e+00,  1.710954730096486e-01,  4.168023739384008e-02, -3.064377100994630e-02,  1.377114268341111e+00, -1.259426847336318e-02,  1.928750507742441e-01
  3.090000000000000e+00,  1.964389436985225e-01,  3.752940378249559e-02, -2.671697245233855e-02,  1.373329207243390e+00, -2.337588689295927e-02,  1.958401921948321e-01
  3.100000000000000e+00,  2.204718427192142e-01,  3.374088117855178e-02, -2.225899733430538e-02,  1.364200563218948e+00, -3.257851857413226e-02,  1.974788195641419e-01
  3.110000000000000e+00,  2.430702363270117e-01,  3.032247117579345e-02, -1.728229445057531e-02,  1.349777858313192e+00, -4.021032757605223e-02,  1.986581978424208e-01
  3.120000000000000e+00,  2.640962279630755e-01,  2.727121326065163e-02, -1.179235995218706e-02,  1.330126707170618e+00, -4.631140582544094e-02,  2.001710382248064e-01
  3.130000000000000e+00,  2.834055527508104e-01,  2.458530617005716e-02, -5.793182674494820e-03,  1.305333175655997e+00, -5.095194301761814e-02,  2.026577969284512e-01
  3.140000000000000e+00,  3.008527254747541e-01,  2.227084891721276e-02,  7.045263261355246e-04,  1.275506439763199e+00, -5.421961267161999e-02,  2.065426143851298e-01
  3.150000000000000e+00,  3.162987441423968e-01,  2.034363707074616e-02,  7.677193181996810e-03,  1.240781012653031e+00, -5.620253089404549e-02,  2.119883047040499e-01
  3.160000000000000e+00,  3.296202489276175e-01,  1.882452637560172e-02,  1.508651128651842e-02,  1.201318955793833e+00, -5.698145959521616e-02,  2.188824460744518e-01
  3.170000000000000e+00,  3.407170623276298e-01,  1.773091252347614e-02,  2.288191926645537e-02,  1.157312024793663e+00, -5.663559081850441e-02,  2.268581905208325e-01
