Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos
  2.380000000000000e+00, -6.293738871581310e-02,  9.580160766918300e-02, -1.360927357682189e-01,  1.102108835988860e+00,  2.217377933969643e-01, -9.109139758213362e-02
  2.390000000000000e+00, -3.213130983561315e-02,  9.370824595899552e-02, -1.332178820696464e-01,  1.141404201897948e+00,  2.014347317076578e-01, -7.256357134755184e-02
  2.400000000000000e+00, -1.971416219604962e-03,  9.106393275988189e-02, -1.296766415386449e-01,  1.176092831768490e+00,  1.789345502241034e-01, -5.392327592988208e-02
  2.410000000000000e+00,  2.745346840031253e-02,  8.801860211950974e-02, -1.255217393983415e-01,  1.205942547445345e+00,  1.554094341537561e-01, -3.612161065704773e-02
  2.420000000000000e+00,  5.606462971333069e-02,  8.471119958125595e-02, -1.208144879662683e-01,  1.230814737389554e+00,  1.317702024351047e-01, -1.990688175184548e-02
  2.430000000000000e+00,  8.378800297554374e-02,  8.125854840266622e-02, -1.156155109282002e-01,  1.250649401733779e+00,  1.086818196981568e-01, -5.758543780003572e-03
  2.440000000000000e+00,  1.105515787242483e-01,  7.775431546602518e-02, -1.099766706992431e-01,  1.265451677063252e+00,  8.659628117564008e-02,  6.145307040550506e-03
  2.450000000000000e+00,  1.362850945603026e-01,  7.427332749346238e-02, -1.039379936481654e-01,  1.275280108685393e+00,  6.578891754976361e-02,  1.592384931539282e-02
  2.460000000000000e+00,  1.609203471786822e-01,  7.087414622722732e-02, -9.752933587005981e-02,  1.280234783848832e+00,  4.639739644409297e-02,  2.395715525113377e-02
  2.470000000000000e+00,  1.843903032741356e-01,  6.759870563601877e-02, -9.077599245046666e-02,  1.280445034618511e+00,  2.846618603401725e-02,  3.082420912618015e-02
  2.480000000000000e+00,  2.066276897334431e-01,  6.447188348337995e-02, -8.370475158188900e-02,  1.276058022156541e+00,  1.199177798149421e-02,  3.721755645370436e-02
  2.490000000000000e+00,  2.275667355852690e-01,  6.150382316945180e-02, -7.634675491444888e-02,  1.267230151613044e+00, -3.044504693809429e-03,  4.384083788017395e-02
  2.500000000000000e+00,  2.471509689390451e-01,  5.869415192026439e-02, -6.873748419333250e-02,  1.254121564152883e+00, -1.666283667187475e-02,  5.130602068386233e-02
  2.510000000000000e+00,  2.653437634373673e-01,  5.603688450126221e-02, -6.091626649479676e-02,  1.236891797146946e+00, -2.888354821981443e-02,  6.005234531417517e-02
  2.520000000000000e+00,  2.821329205456628e-01,  5.352616199061622e-02, -5.292653871807153e-02,  1.215694863427970e+00, -3.973005674872957e-02,  7.030482100700536e-02
  2.530000000000000e+00,  2.975291180145656e-01,  5.116233532500303e-02, -4.481780635105727e-02,  1.190674685497333e+00, -4.923251406938727e-02,  8.207669626659089e-02
  2.540000000000000e+00,  3.115656895681125e-01,  4.895760820703154e-02, -3.664896269684075e-02,  1.161963196328881e+00, -5.743046157881234e-02,  9.519974682108995e-02
  2.550000000000000e+00,  3.242975784784085e-01,  4.694026822877118e-02, -2.848897746096584e-02,  1.129681356629501e+00, -6.437713554705904e-02,  1.093600171585209e-01
  2.560000000000000e+00,  3.357924843804391e-01,  4.515592770376009e-02, -2.041143272986860e-02,  1.093941628480533e+00, -7.014809107155165e-02,  1.241364387134440e-01
  2.570000000000000e+00,  3.461161343249827e-01,  4.366525416834643e-02, -1.248481266310566e-02,  1.054851656228800e+00, -7.485120631113622e-02,  1.390515293787589e-01
  2.580000000000000e+00,  3.553179205267884e-01,  4.253904788382057e-02, -4.761560058273711e-03,  1.012519962519105e+00, -7.863165807652785e-02,  1.536271190124582e-01
  2.590000000000000e+00,  3.634232743360016e-01,  4.185447076163795e-02,  2.733226577211432e-03,  9.670655534180680e-01, -8.166629218847307e-02,  1.674265204230437e-01
  2.600000000000000e+00,  3.704250838618848e-01,  4.168911124392194e-02,  1.001554585825962e-02,  9.186257155947513e-01, -8.414350480539642e-02,  1.800708390099839e-01
  2.610000000000000e+00,  3.762787305664426e-01,  4.211843218331945e-02,  1.714996792980348e-02,  8.673667046656242e-01, -8.624098323545598e-02,  1.912293370137709e-01
  2.620000000000000e+00,  3.808961022688154e-01,  4.321162088179276e-02,  2.425321397418372e-02,  8.134952072764424e-01, -8.810139857493506e-02,  2.005946194710813e-01
  2.630000000000000e+00,  3.841493089703574e-01,  4.502741301145363e-02,  3.149488198491638e-02,  7.572751599108127e-01, -8.980555469316281e-02,  2.078618433125940e-01
  2.640000000000000e+00,  3.858897512226703e-01,  4.760921123452988e-02,  3.909356155883974e-02,  6.990534510220434e-01, -9.134820232815183e-02,  2.127217143186365e-01
  2.650000000000000e+00,  3.859807769690761e-01,  5.097968688425603e-02,  4.730601349273020e-02,  6.392986046303151e-01, -9.263117677102201e-02,  2.148638662984170e-01
  2.660000000000000e+00,  3.843323457124927e-01,  5.512955141217368e-02,  5.641135320341060e-02,  5.786468089045091e-01, -9.348276488175461e-02,  2.139890886276650e-01
  2.670000000000000e+00,  3.809506946562253e-01,  6.000748281224455e-02,  6.667949893786021e-02,  5.179557582696911e-01, -9.371216961545512e-02,  2.098431999942899e-01
  2.680000000000000e+00,  3.759757554494814e-01,  6.549665891122070e-02,  7.832070292444387e-02,  4.583312073377464e-01, -9.317400674657064e-02,  2.022879749525897e-01
  2.690000000000000e+00,  3.697062649677850e-01,  7.139312334658809e-02,  9.140511050109271e-02,  4.011090523598803e-01, -9.182795053345062e-02,  1.914189188262988e-01
  2.700000000000000e+00,  3.625896915186350e-01,  7.739639004412946e-02,  1.057608617675409e-01,  3.477671045165571e-01, -8.976641498588685e-02,  1.777196986925998e-01
  2.710000000000000e+00,  3.551686358015891e-01,  8.312935274235045e-02,  1.208838564024462e-01,  2.997734185117135e-01, -8.719888283161860e-02,  1.622006997851574e-01
  2.720000000000000e+00,  3.479948829393145e-01,  8.819060584816740e-02,  1.359207271944659e-01,  2.584178103487743e-01, -8.439999362733362e-02,  1.464192343432550e-01
  2.730000000000000e+00,  3.415441453507208e-01,  9.221851885897414e-02,  1.497716667011905e-01,  2.246860398531503e-01, -8.163644381425746e-02,  1.322955064126520e-01
  2.740000000000000e+00,  3.361629194085405e-01,  9.493409376938056e-02,  1.612902626672178e-01,  1.992004556721741e-01, -7.908134929974409e-02,  1.217502729679572e-01
  2.750000000000000e+00,  3.320549570685632e-01,  9.614427764894273e-02,  1.694982438974235e-01,  1.822059982395065e-01, -7.672713370285904e-02,  1.163026588343432e-01
  2.760000000000000e+00,  3.292931226686888e-01,  9.571646717062077e-02,  1.737435808847597e-01,  1.735714782041904e-01, -7.432591018889158e-02,  1.167734897083831e-01
  2.770000000000000e+00,  3.278367749669105e-01,  9.355068524532517e-02,  1.737807000098515e-01,  1.727969855570280e-01, -7.139021329223659e-02,  1.231563922875753e-01
  2.780000000000000e+00,  3.275506568870515e-01,  8.957101831456060e-02,  1.697708186847488e-01,  1.790397110425463e-01, -6.726817874232247e-02,  1.346588891204895e-01
  2.790000000000000e+00,  3.282115072129260e-01,  8.373309156942832e-02,  1.622143852264193e-01,  1.911691044116157e-01, -6.127302941337636e-02,  1.498841475576462e-01
  2.800000000000000e+00,  3.295246868108503e-01,  7.604686152233997e-02,  1.518124814592750e-01,  2.078647739084653e-01, -5.285842219782545e-02,  1.671412689797886e-01
  2.810000000000000e+00,  3.311388238117904e-01,  6.659853545908900e-02,  1.393038250833671e-01,  2.277490917408119e-01, -4.180460915098592e-02,  1.847963722040554e-01
  2.820000000000000e+00,  3.326629476279371e-01,  5.556333378151179e-02,  1.253421768654546e-01,  2.495330127527943e-01, -2.835719338003854e-02,  2.015716293766392e-01
  2.830000000000000e+00,  3.336850653473575e-01,  4.320308081041380e-02,  1.104861036898826e-01,  2.721271296721824e-01, -1.323255690985639e-02,  2.167088695136663e-01
  2.840000000000000e+00,  3.337979207567574e-01,  2.985124269313411e-02,  9.527197331945575e-02,  2.946660229933769e-01,  2.522239265418024e-03,  2.299906963400868e-01
  2.850000000000001e+00,  3.326378650681137e-01,  1.588663998038209e-02,  8.025244129511931e-02,  3.164499138878057e-01,  1.772863186087058e-02,  2.416662738832817e-01
  2.860000000000000e+00,  3.299330503344734e-01,  1.695345481557586e-03,  6.596009679904286e-02,  3.368793376132834e-01,  3.126270795962197e-02,  2.522866554168867e-01
  2.870000000000000e+00,  3.255419129886759e-01, -1.237125329446598e-02,  5.285535178964863e-02,  3.554435802011555e-01,  4.220945929120701e-02,  2.624540931987146e-01
  2.880000000000000e+00,  3.194570700854309e-01, -2.602994923023205e-02,  4.129737041367926e-02,  3.717447565731830e-01,  4.996241276111481e-02,  2.725862608363848e-01
  2.890000000000000e+00,  3.117654269871846e-01, -3.908149675160155e-02,  3.153211588811918e-02,  3.855081314467217e-01,  5.424807560199015e-02,  2.828170851367868e-01
  2.900000000000000e+00,  3.025820708543219e-01, -5.140423170322417e-02,  2.368545075556516e-02,  3.965645303967587e-01,  5.509108024060425e-02,  2.930490667582168e-01
  2.910000000000000e+00,  2.919911130426574e-01, -6.292994514719008e-02,  1.775584335773459e-02,  4.048264882753151e-01,  5.275240853811847e-02,  3.030688450509095e-01
  2.920000000000000e+00,  2.800207806547816e-01, -7.361426882653510e-02,  1.361228092552231e-02,  4.102758445959410e-01,  4.765950212074167e-02,  3.126351122048024e-01
  2.930000000000000e+00,  2.666471561667548e-01, -8.341094977047669e-02,  1.101077464324881e-02,  4.129615199554597e-01,  4.033357031037128e-02,  3.215149028543974e-01
  2.940000000000000e+00,  2.518420854965509e-01, -9.225865275088108e-02,  9.631251281247569e-03,  4.130045341405159e-01,  3.132629619451881e-02,  3.294913279755535e-01
  2.950000000000000e+00,  2.356118066240033e-01, -1.000790771204549e-01,  9.123155273254987e-03,  4.106030109388243e-01,  2.116720468012826e-02,  3.363666345165435e-01
  2.960000000000000e+00,  2.180296675987329e-01, -1.067918079004277e-01,  9.141825739695041e-03,  4.060207586443649e-01,  1.033305020477657e-02,  3.419790544813234e-01
  2.970000000000000e+00,  1.992404858440952e-01, -1.123362115293109e-01,  9.374993944404459e-03,  3.995574019825665e-01, -7.678236607020966e-04,  3.462320890605403e-01
  2.980000000000000e+00,  1.794413681734703e-01, -1.166873659826142e-01,  9.566081202492183e-03,  3.915169905779866e-01, -1.180603704030039e-02,  3.491139998490023e-01
  2.990000000000000e+00,  1.588493334153013e-01, -1.198619059204495e-01,  9.530156126201965e-03,  3.821847878621225e-01, -2.253807698733125e-02,  3.506937964220002e-01
  3.000000000000000e+00,  1.376699026355147e-01, -1.219174146930773e-01,  9.153685824282758e-03,  3.718118409021255e-01, -3.280453590498845e-02,  3.511021535095622e-01
  3.010000000000000e+00,  1.160776776911844e-01, -1.229477823052396e-01,  8.378549231236711e-03,  3.606081888229263e-01, -4.251928019268804e-02,  3.505110376044722e-01
  3.020000000000000e+00,  9.421069295172969e-02, -1.230749460728426e-01,  7.179412333027347e-03,  3.487445085100239e-01, -5.165384202820572e-02,  3.491188603584497e-01
  3.030000000000000e+00,  7.217284968074551e-02, -1.224382663674761e-01,  5.542334779972321e-03,  3.363589216669134e-01, -6.022160885349384e-02,  3.471418231726636e-01
  3.040000000000000e+00,  5.003635429104376e-02, -1.211825048121200e-01,  3.448155448056496e-03,  3.235656562887118e-01, -6.826536323503030e-02,  3.448072607163378e-01
  3.050000000000000e+00,  2.784402047620697e-02, -1.194440119832476e-01,  8.686932923760198e-04,  3.104629290107166e-01, -7.584918915726113e-02,  3.423406780256097e-01
  3.060000000000000e+00,  5.631783443804288e-03, -1.173396027360869e-01, -2.225437958896365e-03,  2.971407488165057e-01, -8.305203978472606e-02,  3.399503904637773e-01
  3.070000000000000e+00, -1.656169559167334e-02, -1.149566624051599e-01, -5.839719990258106e-03,  2.836835049751942e-01, -8.996212763433081e-02,  3.378073138299624e-01
  3.080000000000000e+00, -3.867910289788971e-02, -1.123544130223169e-01, -9.951369750344932e-03,  2.701744204776580e-01, -9.666930883879940e-02,  3.360488413447014e-01
  3.090000000000000e+00, -6.065132961181530e-02, -1.095672643001497e-01, -1.450990811453146e-02,  2.567008576670890e-01, -1.032600305673657e-01,  3.347815289632947e-01
  3.100000000000000e+00, -8.240518057012100e-02, -1.066099256315878e-01, -1.944331470157523e-02,  2.433639205825247e-01, -1.098166103007703e-01,  3.340754813473437e-01
  3.110000000000000e+00, -1.038666434499924e-01, -1.034853729753005e-01, -2.466368306885727e-02,  2.302878664171503e-01, -1.164177479521418e-01,  3.339540470941934e-01
  3.120000000000000e+00, -1.249593050736275e-01, -1.001961773425666e-01, -3.007049909121266e-02,  2.176238190484514e-01, -1.231355799624985e-01,  3.343880556871142e-01
  3.130000000000000e+00, -1.456036338645431e-01, -9.675562249723102e-02, -3.555823819831510e-02,  2.055459011145288e-01, -1.300301326245764e-01,  3.353011492650942e-01
  3.140000000000000e+00, -1.657204635068006e-01, -9.319501597148894e-02, -4.103239892173850e-02,  1.942404390787650e-01, -1.371459515639226e-01,  3.365873703193188e-01
  3.150000000000000e+00, -1.852386930680242e-01, -8.956457264489570e-02, -4.642130468629151e-02,  1.838868066637961e-01, -1.445139409596719e-01,  3.381295910083690e-01
  3.160000000000000e+00, -2.041004111279663e-01, -8.592692990473982e-02, -5.167868175335228e-02,  1.746342903662678e-01, -1.521570473722800e-01,  3.398131663356008e-01
  3.170000000000000e+00, -2.222665500837089e-01, -8.234691793283089e-02, -5.677598267002730e-02,  1.665815803500892e-01, -1.600930624508760e-01,  3.415335673354427e-01
