Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos[0]
  1.850000000000000e+00,  3.469441875380181e-02, -1.208469236445342e-01,  5.348158802587508e-02,  2.861858998254450e-01, -8.417033469697992e-02,  3.078845309114328e-01
  1.860000000000000e+00,  1.195860376632306e-02, -1.198185219829166e-01,  5.102743255151929e-02,  2.719074995900416e-01, -9.066562467654400e-02,  3.023921858311867e-01
  1.870000000000000e+00, -1.060199963636785e-02, -1.183625004986009e-01,  4.771883795599574e-02,  2.576554023443633e-01, -9.680176221265981e-02,  2.977201438579883e-01
  1.880000000000000e+00, -3.297295665469841e-02, -1.164899920255560e-01,  4.364604326222811e-02,  2.435446001996779e-01, -1.026992318758771e-01,  2.939663249114208e-01
  1.890000000000000e+00, -5.512195720254651e-02, -1.142032543560820e-01,  3.893715808959503e-02,  2.296915165305461e-01, -1.084765962880182e-01,  2.911766605156851e-01
  1.900000000000000e+00, -7.698648202739131e-02, -1.115058989893676e-01,  3.374779125141596e-02,  2.162212105633724e-01, -1.142412036807414e-01,  2.893434335878815e-01
  1.910000000000000e+00, -9.847278603643597e-02, -1.084137093916420e-01,  2.824405452363288e-02,  2.032705231258789e-01, -1.200810566656650e-01,  2.884113742187873e-01
  1.920000000000000e+00, -1.194638471081849e-01, -1.049649735952602e-01,  2.258453786278377e-02,  1.909822076027298e-01, -1.260605654458053e-01,  2.882954572643561e-01
  1.930000000000000e+00, -1.398311525320728e-01, -1.012271920657388e-01,  1.690499261392325e-02,  1.794940437822480e-01, -1.322211684248656e-01,  2.889003227492591e-01
  1.940000000000000e+00, -1.594463352103223e-01, -9.729665218215233e-02,  1.130675749424078e-02,  1.689289537146366e-01, -1.385853901078744e-01,  2.901308134741505e-01
  1.950000000000000e+00, -1.781916513532986e-01, -9.329007066992201e-02,  5.853312881367540e-03,  1.593888014050166e-01, -1.451648113378923e-01,  2.918893517273631e-01
  1.960000000000000e+00, -1.959713293216672e-01, -8.933131993079035e-02,  5.778831383546213e-04,  1.509497428374465e-01, -1.519686207437096e-01,  2.940640525610764e-01
  1.970000000000000e+00, -2.127242451734480e-01, -8.553862819424141e-02, -4.505173394395053e-03,  1.436550044268551e-01, -1.590034053931050e-01,  2.965208749564738e-01
  1.980000000000000e+00, -2.284334203775858e-01, -8.201606848118725e-02, -9.390200890761287e-03,  1.375072473145482e-01, -1.662640854671470e-01,  2.991028482410843e-01
  1.990000000000000e+00, -2.431288165757202e-01, -7.884929789106954e-02, -1.406772772472685e-02,  1.324675018161525e-01, -1.737251273126442e-01,  3.016247181355149e-01
  2.000000000000000e+00, -2.568863142151008e-01, -7.610352757342698e-02, -1.851413410978235e-02,  1.284623715608023e-01, -1.813348339605038e-01,  3.038624296181479e-01
  2.010000000000000e+00, -2.698253180045233e-01, -7.382274055786842e-02, -2.269394942420500e-02,  1.253974573817284e-01, -1.890134013207783e-01,  3.055477189501169e-01
  2.020000000000000e+00, -2.821032159791745e-01, -7.203063736871895e-02, -2.657251165269869e-02,  1.231768015504697e-01, -1.966597375415088e-01,  3.063715776010150e-01
  2.030000000000000e+00, -2.939054229069095e-01, -7.073342654763182e-02, -3.012849231323983e-02,  1.217263054714002e-01, -2.041671800780231e-01,  3.059956040905834e-01
  2.040000000000000e+00, -3.054317416107033e-01, -6.992309762294635e-02, -3.336245082559053e-02,  1.210136803169818e-01, -2.114402877499783e-01,  3.040720497025268e-01
  2.050000000000000e+00, -3.168802089879565e-01, -6.957855385991452e-02, -3.630433164224124e-02,  1.210560578203512e-01, -2.184019751375188e-01,  3.002767326923509e-01
  2.060000000000000e+00, -3.284258363493768e-01, -6.966207741793218e-02, -3.902075059693436e-02,  1.219121318444700e-01, -2.249857346934564e-01,  2.943562458972152e-01
  2.070000000000000e+00, -3.401875579022934e-01, -7.010889123189790e-02, -4.161571669896309e-02,  1.236650091480891e-01, -2.311199587280728e-01,  2.861780513232888e-01
  2.080000000000000e+00, -3.521846665609584e-01, -7.080663993339265e-02, -4.421361551361266e-02,  1.264076584558026e-01, -2.367164221741631e-01,  2.757597817315300e-01
  2.090000000000000e+00, -3.643018409258961e-01, -7.156533804837273e-02, -4.691954358801844e-02,  1.302390552410675e-01, -2.416689067272567e-01,  2.632570399063876e-01
  2.100000000000000e+00, -3.762889777469496e-01, -7.209225383869766e-02, -4.977202285688145e-02,  1.352670950345635e-01, -2.458586379980394e-01,  2.489120101137867e-01
  2.110000000000000e+00, -3.878051184095552e-01, -7.199867940426041e-02, -5.271911129559464e-02,  1.416078646208426e-01, -2.491565765612705e-01,  2.329911052192896e-01
  2.120000000000000e+00, -3.984880868266261e-01, -7.085402080498682e-02, -5.563863118571082e-02,  1.493778045034602e-01, -2.514145781852636e-01,  2.157444853406714e-01
  2.130000000000000e+00, -4.080178318517071e-01, -6.826831463067196e-02, -5.839214631114655e-02,  1.586832916974641e-01, -2.524486664231936e-01,  1.973993746833973e-01
  2.140000000000000e+00, -4.161507954773362e-01, -6.396331660378962e-02, -6.088120446507517e-02,  1.696138528353791e-01, -2.520259901508440e-01,  1.781736732985279e-01
  2.150000000000000e+00, -4.227238373118909e-01, -5.780761434025750e-02, -6.308117004581833e-02,  1.822449165545506e-01, -2.498621105091991e-01,  1.582896778963854e-01
  2.160000000000000e+00, -4.276401447781626e-01, -4.981906461064511e-02, -6.504958014087872e-02,  1.966520960108018e-01, -2.456263415329417e-01,  1.379781986327958e-01
  2.170000000000000e+00, -4.308483649397677e-01, -4.014958827681037e-02, -6.691962109061339e-02,  2.129320225226082e-01, -2.389512955907303e-01,  1.174743160923362e-01
  2.180000000000000e+00, -4.323203131033133e-01, -2.906384572333720e-02, -6.888563341617014e-02,  2.312223940916161e-01, -2.294455513574029e-01,  9.700586541080114e-02
  2.190000000000000e+00, -4.320313440032530e-01, -1.691601435468959e-02, -7.117800779380908e-02,  2.517166055698472e-01, -2.167107874576694e-01,  7.676970584316582e-02
  2.200000000000000e+00, -4.299463307077381e-01, -4.124507970926450e-03, -7.402623929804515e-02,  2.746691289604262e-01, -2.003647986759575e-01,  5.689486723088685e-02
  2.210000000000000e+00, -4.260075292100577e-01,  8.856170808335895e-03, -7.761870726446428e-02,  3.003863849630705e-01, -1.800701409900418e-01,  3.740599226926766e-02
  2.220000000000000e+00, -4.201175657218600e-01,  2.156900674730555e-02, -8.206810561876282e-02,  3.292015295106676e-01, -1.555692900054689e-01,  1.820783564192401e-02
  2.230000000000000e+00, -4.121218388417314e-01,  3.359728899209191e-02, -8.738240175331394e-02,  3.614376313280753e-01, -1.267298476042416e-01, -8.951975147309906e-04
  2.240000000000000e+00, -4.018080626104169e-01,  4.461218624551311e-02, -9.344553424103681e-02,  3.973621122767814e-01, -9.360240451488752e-02, -2.013641654477357e-02
