Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  2.300000000000000e+00,  2.759104044818689e-01, -4.886801114325801e-02,  1.875098234244216e-01,  3.583198785126080e-01,  7.136013975538789e-02,  3.291333562313085e-01
  2.310000000000000e+00,  2.624381153831262e-01, -5.754811137137383e-02,  1.884367431782185e-01,  3.605818044013746e-01,  6.196831586957349e-02,  3.340926721262732e-01
  2.320000000000000e+00,  2.476551484211995e-01, -6.600431645616944e-02,  1.898335042059580e-01,  3.606187574739488e-01,  5.114061740876854e-02,  3.379121075185911e-01
  2.330000000000000e+00,  2.316793124684390e-01, -7.415895714767928e-02,  1.914512682515599e-01,  3.586052656187900e-01,  3.943329936470065e-02,  3.406443348585339e-01
  2.340000000000000e+00,  2.146324597779350e-01, -8.191008343550088e-02,  1.930296265753554e-01,  3.547370419570918e-01,  2.733746313772986e-02,  3.423640489129511e-01
  2.350000000000000e+00,  1.966333580375842e-01, -8.915513027421040e-02,  1.943237880207694e-01,  3.492248100192064e-01,  1.525641654318148e-02,  3.431714070283665e-01
  2.360000000000000e+00,  1.777937610581685e-01, -9.581382044552367e-02,  1.951304731578094e-01,  3.422811113678595e-01,  3.500013379811385e-03,  3.431871914080118e-01
  2.370000000000000e+00,  1.582198157660083e-01, -1.018422161388306e-01,  1.953066841893955e-01,  3.341077036994216e-01, -7.712859853342974e-03,  3.425357889537572e-01
  2.380000000000000e+00,  1.380154391050791e-01, -1.072342443050893e-01,  1.947790034391285e-01,  3.248896005300050e-01, -1.824781183682726e-02,  3.413206217582275e-01
  2.390000000000000e+00,  1.172841935953441e-01, -1.120133759815389e-01,  1.935412430163728e-01,  3.147959287276753e-01, -2.804406371769937e-02,  3.396070319192726e-01
  2.400000000000000e+00,  9.612632675554438e-02, -1.162206734824707e-01,  1.916398002043806e-01,  3.039837860330046e-01, -3.709875710105515e-02,  3.374235764816853e-01
  2.410000000000000e+00,  7.463438319739592e-02, -1.199028239071573e-01,  1.891496028415708e-01,  2.926031387885845e-01, -4.545062080234998e-02,  3.347800087326043e-01
  2.420000000000000e+00,  5.289367473073461e-02, -1.231019890245086e-01,  1.861477657685325e-01,  2.808023160136406e-01, -5.316722523744225e-02,  3.316913289413844e-01
  2.430000000000000e+00,  3.098566015152165e-02, -1.258505954882159e-01,  1.826938292921289e-01,  2.687309695590317e-01, -6.033514426170042e-02,  3.281993169599131e-01
  2.440000000000000e+00,  8.988985485217944e-03, -1.281723849207936e-01,  1.788218854019395e-01,  2.565380575214988e-01, -6.705082598725158e-02,  3.243882689946599e-01
  2.450000000000000e+00, -1.302061454458495e-02, -1.300871378234978e-01,  1.745440011995650e-01,  2.443674197940661e-01, -7.341250555800004e-02,  3.203911541552379e-01
  2.460000000000000e+00, -3.497023842862518e-02, -1.316138524064163e-01,  1.698612522114986e-01,  2.323543811253086e-01, -7.951636926481723e-02,  3.163814532844547e-01
  2.470000000000000e+00, -5.679153068465565e-02, -1.327715204313100e-01,  1.647790374204302e-01,  2.206223332215052e-01, -8.545588763279902e-02,  3.125512890807634e-01
  2.480000000000000e+00, -7.842366232880293e-02, -1.335785553145337e-01,  1.593208860073412e-01,  2.092791786011861e-01, -9.132163438374777e-02,  3.090849311444201e-01
  2.490000000000000e+00, -9.981258545940334e-02, -1.340525055357302e-01,  1.535334734345363e-01,  1.984167071287541e-01, -9.720041676321960e-02,  3.061383192321477e-01
  2.500000000000000e+00, -1.209022787982565e-01, -1.342102514525521e-01,  1.474819021676236e-01,  1.881159625887057e-01, -1.031754445358621e-01,  3.038275078003880e-01
  2.510000000000000e+00, -1.416213017425994e-01, -1.340691322005685e-01,  1.412429028750756e-01,  1.784563892151380e-01, -1.093274357440135e-01,  3.022216949981387e-01
  2.520000000000000e+00, -1.618749562542468e-01, -1.336500335178894e-01,  1.349020591886298e-01,  1.695226238854652e-01, -1.157338857993598e-01,  3.013380641072080e-01
  2.530000000000000e+00, -1.815454252134597e-01, -1.329823869503677e-01,  1.285526749442379e-01,  1.614064940940380e-01, -1.224656809587115e-01,  3.011420608296636e-01
  2.540000000000000e+00, -2.004936127982885e-01, -1.321101177721815e-01,  1.222912904247584e-01,  1.542057900893465e-01, -1.295823487341059e-01,  3.015577350529300e-01
  2.550000000000000e+00, -2.185641543877763e-01, -1.310957977131391e-01,  1.162092741785476e-01,  1.480202769035992e-01, -1.371274840987548e-01,  3.024848800996605e-01
  2.560000000000000e+00, -2.355989379864872e-01, -1.300195861709730e-01,  1.103838211533716e-01,  1.429448118822773e-01, -1.451258891653808e-01,  3.038142045747111e-01
  2.570000000000000e+00, -2.514563954209545e-01, -1.289729027111743e-01,  1.048714316937544e-01,  1.390605030343720e-01, -1.535826139730666e-01,  3.054360916245998e-01
  2.580000000000000e+00, -2.660307513930353e-01, -1.280487554721497e-01,  9.970509000111774e-02,  1.364253593538594e-01, -1.624829562898053e-01,  3.072429995289259e-01
  2.590000000000000e+00, -2.792663888592329e-01, -1.273327449333002e-01,  9.489487672126347e-02,  1.350660703702432e-01, -1.717929159305285e-01,  3.091261024526974e-01
